id,objeto,entidade_adj,adjudicataria,adj_nif,tipo_contrato,tipo_proc,preco,preco_efetivo,data_pub,data_contrato,cpv,distrito,ano,ajuste_direto,score_risco,nivel_risco,flags,fonte_ano,atualizado
341389,040107342022 - PERÓXIDO DE HIDROGÉNIO ACELERADO 0.36% SOL SPRAY 750 ML,"510103448 - Centro Hospitalar e Universitário de Coimbra, E. P. E.","500086753 - Diversey Portugal-Sistemas de Higiene e Limpeza, Unipessoal, Lda",,Aquisição de bens móveis,Ajuste Direto Regime Geral,88000.0,50128.3,2022-05-12,2022-04-21,33600000-6 - Produtos farmacêuticos,Coimbra,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (88,000€)"", ""desvio preço 43%"", ""adjudicações repetidas (23x)""]",2022,2026-04-02T01:34:37.865984
343190,"AD n.º 51/0016/2022 –  Fornecimento de Emtricitabina + Rilpivirina + Tenofovir, Emtricitabina + Rilpivirina + Tenofovir Alafenamida e Aztreonam ao Hospital de Santo Espírito da Ilha Terceira, EPER","512105030 - HOSPITAL DE SANTO ESPÍRITO DA ILHA TERCEIRA, EPER","503604704 - GILEAD SCIENCES, LDA",,Aquisição de bens móveis,Ajuste Direto Regime Geral,95248.08,35704.02,2022-05-18,2022-05-09,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (95,248€)"", ""desvio preço 63%"", ""adjudicações repetidas (118x)""]",2022,2026-04-02T01:34:38.333828
343508,"EXCL SANOFI-PRODUTOS FARMACEUTICOS,LD - VÁRIOS","506361438 - Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E.","500134960 - SANOFI- PRODUTOS FARMACÊUTICOS,LDA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,108272.8,22074.46,2022-05-24,2022-01-18,33600000-6 - Produtos farmacêuticos,Coimbra,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (108,273€)"", ""desvio preço 80%"", ""adjudicações repetidas (920x)""]",2022,2026-04-02T01:34:38.405936
343915,"EXCL LABORATORIOS PFIZER LDA - TALAZOPARIB 1 MG, E 0,25 MG CAPS*","506361438 - Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E.","500162166 - LAB. PFIZER, LDA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,78947.98,1314.47,2022-05-25,2022-01-11,33600000-6 - Produtos farmacêuticos,Coimbra,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (78,948€)"", ""desvio preço 98%"", ""adjudicações repetidas (1676x)""]",2022,2026-04-02T01:34:38.507400
345191,"NP EXCL ASTRAZENECA-PRODUTOS FARMACEUTICOS, LDA - ACALABRUTINIB 100 MG","506361438 - Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E.","502942240 - ASTRAZENECA-PRODUTOS FARMACÊUTICOS,LDA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,144781.5,14478.15,2022-05-25,2022-03-02,33600000-6 - Produtos farmacêuticos,Coimbra,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (144,782€)"", ""desvio preço 90%"", ""adjudicações repetidas (737x)""]",2022,2026-04-02T01:34:38.781674
345725,EAD20220047 - ARTIGOS ESPECIFICOS PARA SUPORTE BASICO DE VIDA,"511228848 - Serviço de Saúde da Região Autónoma da Madeira, EPERAM (SESARAM, EPERAM)","506819698 - GETINGE GROUP PORTUGAL, UNIP LDA (MAQUET PORT)",,Aquisição de bens móveis,Ajuste Direto Regime Geral,100635.0,11235.5,2022-05-27,2022-04-07,33190000-8 - Dispositivos e produtos médicos variados,Região Autónoma da Madeira,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (100,635€)"", ""desvio preço 89%"", ""adjudicações repetidas (36x)""]",2022,2026-04-02T01:34:38.896891
346358,"Fornecimento de Moroctocog alfa ao Hospital de Santo Espírito da Ilha Terceira, EPER","512105030 - Hospital de Santo Espírito da Ilha Terceira, E. P. E. R.","500162166 - LAB. PFIZER, LDA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,342600.88,235267.06,2022-05-31,2022-05-19,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (342,601€)"", ""desvio preço 31%"", ""adjudicações repetidas (1676x)""]",2022,2026-04-02T01:34:39.012922
346547,Aquisição de serviços postais,"516160893 - Águas do Alto Alentejo, E. I. M., S. A.","500077568 - CTT - Correios de Portugal, SA",,Aquisição de serviços,Ajuste Direto Regime Geral,301980.0,194941.65,2022-06-03,2022-06-02,64110000-0 - Serviços postais,Portalegre,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (301,980€)"", ""desvio preço 35%"", ""adjudicações repetidas (65x)""]",2022,2026-04-02T01:34:39.049807
348778,"Fornecimento de Metoxipolietilenoglicol – Epoetina beta e Epoetina beta ao Hospital de Santo Espírito da Ilha Terceira, EPER","512105030 - Hospital de Santo Espírito da Ilha Terceira, E. P. E. R.","500233810 - ROCHE FARMACÊUTICA QUIMICA, LDA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,200188.5,36671.0,2022-06-09,2022-05-31,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (200,188€)"", ""desvio preço 82%"", ""adjudicações repetidas (1057x)""]",2022,2026-04-02T01:34:39.496106
350340,"Fornecimento de Panitumumab ao Hospital de Santo Espírito da Ilha Terceira, EPER","512105030 - HOSPITAL DE SANTO ESPÍRITO DA ILHA TERCEIRA, EPER","512063605 - Luís Peixoto, Lda",,Aquisição de bens móveis,Ajuste Direto Regime Geral,83339.16,6125.0,2022-06-23,2022-06-13,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (83,339€)"", ""desvio preço 93%"", ""adjudicações repetidas (39x)""]",2022,2026-04-02T01:34:40.258550
352089,Manutenção e reparação de equipamento da marca Palfinger,"509680780 - Ambiolhão - Empresa Municipal de Ambiente de Olhão, EM",507208013 - PALFINGER- COMERCIO E ALUGUER DE MÁQUINAS SA,,Aquisição de serviços,Ajuste Direto Regime Geral,80000.0,54149.92,2022-07-01,2022-07-01,"50100000-6 - Serviços de reparação e manutenção de veículos e equipamento afim, e serviços conexos",Faro,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (80,000€)"", ""desvio preço 32%"", ""adjudicações repetidas (31x)""]",2022,2026-04-02T01:34:40.776974
354816,"Fornecimento de Secucinumab, Ribociclib, Nilotinib, Omalizumab e Everolimus ao HSEIT, EPER","512105030 - HOSPITAL DE SANTO ESPÍRITO DA ILHA TERCEIRA, EPER","500063524 - NOVARTIS FARMA-PROD.FARMACÊUTICOS,SA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,310315.57,134484.34,2022-07-14,2022-07-01,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (310,316€)"", ""desvio preço 57%"", ""adjudicações repetidas (908x)""]",2022,2026-04-02T01:34:41.453405
355793,"AD n.º 51/0012/2022 –  Fornecimento de Nintedanib e Tenecteplase ao Hospital de Santo Espírito da Ilha Terceira, EPER","512105030 - Hospital de Santo Espírito da Ilha Terceira, E. P. E. R.",500293023 - UNILFARMA,,Aquisição de bens móveis,Ajuste Direto Regime Geral,81883.08,34729.02,2022-07-19,2022-05-11,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (81,883€)"", ""desvio preço 58%"", ""adjudicações repetidas (15x)""]",2022,2026-04-02T01:34:41.643567
356219,"Fornecimento de Trastuzumab 600 mg e Trastuzumab Emtansina ao HSEIT, EPER","512105030 - HOSPITAL DE SANTO ESPÍRITO DA ILHA TERCEIRA, EPER","500233810 - ROCHE FARMACÊUTICA QUIMICA, LDA.",,Aquisição de bens móveis,Ajuste Direto Regime Geral,347010.16,235606.82,2022-07-21,2022-07-04,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Região Autónoma dos Açores,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (347,010€)"", ""desvio preço 32%"", ""adjudicações repetidas (1057x)""]",2022,2026-04-02T01:34:41.723597
359454,EXCL SERVIER PORTUGAL - TRIFLURIDINA+TIPIRACILO,"506361438 - Instituto Português de Oncologia de Coimbra Francisco Gentil, E. P. E.",502177420 - SERVIER PORTUGAL - ESPECIALIDADES FARMACEUTICAS,,Aquisição de bens móveis,Ajuste Direto Regime Geral,111375.0,148500.0,2022-07-28,2022-07-18,33600000-6 - Produtos farmacêuticos,Coimbra,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (111,375€)"", ""desvio preço 33%"", ""adjudicações repetidas (129x)""]",2022,2026-04-02T01:34:42.318616
361635,Aquisição de Serviços de Transporte de Passageiros,500122237 - Fundação INATEL,"500269165 - Resende Actividades Turisticas, SA",,Aquisição de serviços,Ajuste Direto Regime Geral,215512.6,88428.25,2022-08-09,2022-08-08,60172000-4 - Aluguer de autocarros e autocarros de turismo com condutor,,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (215,513€)"", ""desvio preço 59%"", ""adjudicações repetidas (11x)""]",2022,2026-04-02T01:34:43.359009
